,Unnamed: 0,Unnamed: 0.1,time_point,area,aqi,quality,primary_pollutant,pm2_5,pm2_5_24h,pm10,pm10_24h,co,co_24h,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,so2,so2_24h,province
210,210,210,2018-09-07T09:00:00Z,泰安,53.0,良,颗粒物(PM10),8.0,16.0,53.0,68.0,0.3,0.333,14.0,20.0,56.0,164.0,33.0,54.0,6.0,7.0,山东省
211,211,211,2018-09-07T09:00:00Z,泰州,71.0,良,颗粒物(PM2.5),51.0,48.0,79.0,75.0,0.925,0.95,20.0,28.0,66.0,174.0,49.0,69.0,8.0,7.0,江苏省
212,212,212,2018-09-07T09:00:00Z,泸州,21.0,优,,13.0,10.0,20.0,19.0,0.175,0.225,18.0,23.0,55.0,66.0,32.0,34.0,4.0,7.0,四川省
213,213,213,2018-09-07T09:00:00Z,洛阳,33.0,优,,8.0,14.0,32.0,50.0,0.7140000000000001,0.643,27.0,30.0,42.0,137.0,43.0,59.0,11.0,11.0,河南省
214,214,214,2018-09-07T09:00:00Z,济南,43.0,优,,9.0,13.0,42.0,75.0,0.325,0.338,25.0,26.0,39.0,169.0,28.0,39.0,8.0,8.0,山东省
215,215,215,2018-09-07T09:00:00Z,济宁,48.0,优,,14.0,27.0,47.0,65.0,0.467,0.5670000000000001,22.0,22.0,43.0,193.0,36.0,46.0,16.0,15.0,山东省
216,216,216,2018-09-07T09:00:00Z,海东地区,43.0,优,,20.0,26.0,42.0,50.0,0.7,0.7,43.0,34.0,19.0,112.0,24.0,54.0,10.0,14.0,青海省
217,217,217,2018-09-07T09:00:00Z,海北州,35.0,优,,18.0,23.0,34.0,35.0,0.5,0.6,17.0,14.0,28.0,47.0,31.0,40.0,17.0,17.0,青海省
218,218,218,2018-09-07T09:00:00Z,海南州,39.0,优,,17.0,15.0,32.0,25.0,0.8,0.7,18.0,14.0,72.0,111.0,77.0,77.0,10.0,9.0,青海省
219,219,219,2018-09-07T09:00:00Z,海口,23.0,优,,13.0,11.0,22.0,24.0,0.54,0.5,14.0,12.0,32.0,81.0,30.0,38.0,3.0,4.0,海南省
220,220,220,2018-09-07T09:00:00Z,海西州,39.0,优,,6.0,9.0,13.0,21.0,0.6,0.6,6.0,8.0,73.0,105.0,76.0,83.0,16.0,17.0,青海省
221,221,221,2018-09-07T09:00:00Z,海门,53.0,良,颗粒物(PM10),34.0,37.0,53.0,57.0,0.75,0.75,19.0,13.0,56.0,186.0,65.0,84.0,11.0,12.0,江苏省
222,222,222,2018-09-07T09:00:00Z,淄博,55.0,良,颗粒物(PM10),18.0,19.0,58.0,72.0,0.98,0.82,30.0,26.0,39.0,180.0,29.0,47.0,32.0,15.0,山东省
223,223,223,2018-09-07T09:00:00Z,淮北,42.0,优,,13.0,27.0,41.0,55.0,0.5329999999999999,0.633,24.0,19.0,39.0,156.0,49.0,93.0,14.0,13.0,安徽省
224,224,224,2018-09-07T09:00:00Z,淮南,58.0,良,颗粒物(PM10),15.0,34.0,63.0,61.0,0.35,0.5329999999999999,18.0,18.0,42.0,125.0,52.0,69.0,13.0,12.0,安徽省
225,225,225,2018-09-07T09:00:00Z,淮安,76.0,良,颗粒物(PM10),34.0,49.0,100.0,66.0,0.8,0.72,28.0,24.0,52.0,136.0,55.0,78.0,9.0,7.0,江苏省
226,226,226,2018-09-07T09:00:00Z,深圳,46.0,优,,29.0,29.0,45.0,44.0,0.677,0.638,29.0,24.0,52.0,118.0,41.0,54.0,7.0,7.0,广东省
227,227,227,2018-09-07T09:00:00Z,清远,35.0,优,,22.0,26.0,34.0,39.0,0.967,0.7,30.0,25.0,23.0,157.0,25.0,49.0,11.0,8.0,广东省
228,228,228,2018-09-07T09:00:00Z,温州,63.0,良,颗粒物(PM10),41.0,31.0,74.0,55.0,0.925,0.725,40.0,30.0,16.0,131.0,8.0,17.0,9.0,7.0,浙江省
229,229,229,2018-09-07T09:00:00Z,渭南,64.0,良,颗粒物(PM10),12.0,25.0,75.0,99.0,0.325,0.475,28.0,42.0,38.0,140.0,29.0,36.0,4.0,5.0,陕西省
230,230,230,2018-09-07T09:00:00Z,湖州,82.0,良,颗粒物(PM2.5),60.0,71.0,81.0,106.0,1.154,1.151,53.0,48.0,43.0,197.0,55.0,84.0,18.0,22.0,浙江省
231,231,231,2018-09-07T09:00:00Z,湘潭,41.0,优,,24.0,25.0,40.0,46.0,0.7290000000000001,0.7290000000000001,17.0,11.0,49.0,118.0,75.0,85.0,10.0,7.0,湖南省
232,232,232,2018-09-07T09:00:00Z,湘西州,28.0,优,,16.0,26.0,27.0,42.0,1.4,1.4,18.0,9.0,16.0,83.0,26.0,34.0,3.0,2.0,湖南省
233,233,233,2018-09-07T09:00:00Z,湛江,19.0,优,,13.0,12.0,16.0,24.0,0.5,0.45,14.0,14.0,44.0,87.0,31.0,39.0,5.0,7.0,广东省
234,234,234,2018-09-07T09:00:00Z,溧阳,58.0,良,颗粒物(PM2.5),40.0,46.0,54.0,63.0,1.3,0.95,29.0,27.0,56.0,186.0,61.0,112.0,8.0,8.0,江苏省
235,235,235,2018-09-07T09:00:00Z,滁州,66.0,良,颗粒物(PM10),37.0,31.0,80.0,54.0,0.7,0.667,25.0,20.0,56.0,132.0,69.0,107.0,8.0,7.0,安徽省
236,236,236,2018-09-07T09:00:00Z,滨州,42.0,优,,11.0,13.0,41.0,55.0,1.0,0.633,29.0,18.0,37.0,160.0,33.0,51.0,13.0,11.0,山东省
237,237,237,2018-09-07T09:00:00Z,漯河,56.0,良,颗粒物(PM10),13.0,23.0,59.0,84.0,0.4,0.4,27.0,26.0,48.0,159.0,54.0,64.0,12.0,12.0,河南省
238,238,238,2018-09-07T09:00:00Z,漳州,33.0,优,,19.0,27.0,32.0,45.0,0.667,0.6,26.0,16.0,43.0,116.0,44.0,50.0,14.0,6.0,福建省
239,239,239,2018-09-07T09:00:00Z,潍坊,61.0,良,颗粒物(PM10),23.0,20.0,69.0,83.0,0.75,0.6,35.0,30.0,50.0,208.0,21.0,43.0,22.0,18.0,山东省
240,240,240,2018-09-07T09:00:00Z,潮州,48.0,优,,33.0,31.0,47.0,48.0,1.067,0.9,13.0,12.0,56.0,147.0,38.0,41.0,13.0,9.0,广东省
241,241,241,2018-09-07T09:00:00Z,濮阳,49.0,优,,9.0,13.0,48.0,66.0,0.775,0.7,20.0,20.0,51.0,202.0,41.0,58.0,19.0,16.0,河南省
242,242,242,2018-09-07T09:00:00Z,烟台,39.0,优,,7.0,14.0,23.0,63.0,0.16,0.25,8.0,12.0,69.0,184.0,76.0,97.0,5.0,11.0,山东省
243,243,243,2018-09-07T09:00:00Z,焦作,44.0,优,,23.0,27.0,43.0,60.0,0.5329999999999999,0.467,18.0,18.0,81.0,129.0,81.0,87.0,10.0,7.0,河南省
244,244,244,2018-09-07T09:00:00Z,牡丹江,22.0,优,,14.0,13.0,21.0,22.0,0.26,0.3,7.0,10.0,42.0,87.0,42.0,83.0,2.0,2.0,黑龙江省
245,245,245,2018-09-07T09:00:00Z,玉林,35.0,优,,21.0,22.0,34.0,47.0,0.9,0.767,21.0,17.0,19.0,89.0,13.0,17.0,22.0,16.0,广西壮族自治区
246,246,246,2018-09-07T09:00:00Z,玉树州,28.0,优,,7.0,5.0,12.0,9.0,0.8,0.6,31.0,11.0,31.0,98.0,55.0,66.0,8.0,7.0,青海省
247,247,247,2018-09-07T09:00:00Z,玉溪,25.0,优,,17.0,18.0,0.0,31.0,0.633,1.1,13.0,16.0,43.0,94.0,22.0,22.0,6.0,6.0,云南省
248,248,248,2018-09-07T09:00:00Z,珠海,49.0,优,,34.0,14.0,40.0,24.0,0.667,0.575,27.0,18.0,39.0,105.0,25.0,54.0,4.0,3.0,广东省
249,249,249,2018-09-07T09:00:00Z,瓦房店,28.0,优,,7.0,19.0,26.0,43.0,0.2,0.35,15.0,15.0,50.0,177.0,54.0,64.0,5.0,5.0,辽宁省
250,250,250,2018-09-07T09:00:00Z,甘南州,55.0,良,颗粒物(PM10),21.0,18.0,57.0,39.0,0.7,0.5,27.0,13.0,51.0,155.0,79.0,99.0,13.0,11.0,甘南州
251,251,251,2018-09-07T09:00:00Z,甘孜州,37.0,优,,19.0,13.0,25.0,19.0,0.5,0.3,27.0,9.0,51.0,106.0,73.0,87.0,8.0,11.0,四川省
